name,gene_symbol,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,pvalue,pAdj,P3_1,P3_2,P3_3,P33_1,P33_2,P33_3,band,chromosome_name
ENSG00000228624,HDAC2-AS2,1400.4867,371.2333,2429.7,6.5489,2.7112,0.1069,25.3538,8.15e-142,1.49e-137,399.3,360.2,354.2,2418.2,2513.5,2357.4,q21,6
ENSG00000234787,LINC00458,1930.8693,530.4333,3331.2667,6.2818,2.6512,0.1077,24.6142,8.89e-134,1.09e-129,587.6,495.3,508.4,3290.6,3414.9,3288.3,q14.3,13
ENSG00000254339,ENSG00000254339,3206.3738,651.3333,5761.4333,8.8441,3.1447,0.1474,21.3295,6.05e-101,5.55e-97,505.4,743.5,705.1,5890.2,5489.2,5904.9,q23.3,8
ENSG00000218739,CEBPZOS,495.8898,890.6333,101.1667,0.1132,-3.1432,0.158,-19.8895,5.02e-88,3.68e-84,843.3,898.4,930.2,114,81.5,108,p22.2,2
ENSG00000261175,LINC02188,454.7371,149.7667,759.7,5.0707,2.3422,0.1405,16.6748,2e-62,9.17e-59,146.7,147.6,155,777.1,813.2,688.8,q24.1,16
ENSG00000111186,WNT5B,617.369,254.9333,979.8,3.8492,1.9446,0.122,15.935,3.62e-57,1.48e-53,259.6,266,239.2,932.5,1032.8,974.1,p13.33,12
ENSG00000238266,LINC00707,391.6128,148.6333,634.5667,4.2759,2.0962,0.1464,14.3197,1.65e-46,6.05e-43,160.5,144.5,140.9,652.7,677,574,NA,
ENSG00000137486,ARRB1,359.0309,122.0667,596,4.8926,2.2906,0.1602,14.3016,2.14e-46,7.13e-43,146.7,112,107.5,611.3,606.1,570.6,q13.4,11
ENSG00000084453,SLCO1A2,385.7684,161.7333,609.8,3.7668,1.9133,0.1446,13.228,6.05e-40,1.59e-36,139.7,173.8,171.7,633.1,585.9,610.4,p12.1,12
ENSG00000286279,ENSG00000286279,979.7409,541.1667,1418.2667,2.622,1.3907,0.1054,13.1913,9.84e-40,2.41e-36,575.7,531.9,515.9,1382.1,1451.9,1420.8,q14.1,12
ENSG00000134463,ECHDC3,400.1017,683.2333,116.9667,0.1717,-2.5423,0.1947,-13.0594,5.61e-39,1.29e-35,836.3,595.8,617.6,115,138.1,97.8,p14,10
ENSG00000289356,ENSG00000289356,192.2539,69.8,314.6667,4.4969,2.1689,0.1776,12.2114,2.7e-34,5.53e-31,73.3,62.8,73.3,328.4,315.5,300.1,q22.33,9
ENSG00000228495,LINC01013,1464.0821,591.3,2336.9,3.951,1.9822,0.1623,12.211,2.71e-34,5.53e-31,440,675.4,658.5,2356.1,2239.2,2415.4,q23.2,6
ENSG00000139433,GLTP,1070.2889,647.1333,1493.4333,2.3074,1.2063,0.0999,12.0772,1.39e-33,2.69e-30,657,629.3,655.1,1550,1484.5,1445.8,q24.11,12
ENSG00000184363,PKP3,832.9048,437.8333,1228,2.8048,1.4879,0.1253,11.8779,1.54e-32,2.83e-29,454.8,413.6,445.1,1172.9,1373.3,1137.8,p15.5,11
ENSG00000175548,ALG10B,246.1326,92.4667,399.8,4.3357,2.1163,0.1845,11.4688,1.89e-30,3.16e-27,115.9,84.8,76.7,412.4,390.3,396.7,q12,12
ENSG00000186439,TRDN,719.839,164.6667,1274.9667,7.7304,2.9505,0.2582,11.4286,3.01e-30,4.8e-27,84.2,194.8,215,1381.1,1195.8,1248,q22.31,6
ENSG00000250899,ENSG00000250899,2305.5224,1531.5667,3079.4333,2.0111,1.008,0.0886,11.3713,5.81e-30,8.89e-27,1501.2,1587.4,1506.1,3075.1,3157.9,3005.3,p13.33,12
ENSG00000228592,D21S2088E,1246.521,793.3667,1699.6667,2.1418,1.0988,0.0987,11.137,8.29e-29,1.17e-25,813.5,758.1,808.5,1641.2,1754,1703.8,q21.2,21
ENSG00000243004,ENSG00000243004,493.5392,240.5,746.6,3.1032,1.6337,0.1469,11.1209,9.93e-29,1.35e-25,198.2,264.9,258.4,778.1,749,712.7,p21.1,7
ENSG00000165617,DACT1,519.0375,303.1667,734.9333,2.4256,1.2783,0.1169,10.9346,7.87e-28,1.03e-24,314.1,303.7,291.7,746,727.9,730.9,q23.1,14
ENSG00000084463,WBP11,5916.7516,4226.7,7606.7667,1.7998,0.8478,0.0779,10.8845,1.37e-27,1.73e-24,4282.7,4228.3,4169.1,7586.2,7683.3,7550.8,p12.3,12
ENSG00000197461,PDGFA,537.8267,315.7667,759.9,2.4076,1.2676,0.1168,10.854,1.91e-27,2.33e-24,314.1,321.5,311.7,731.5,791.2,757,p22.3,7
